"","sample","d13C","treatment","d18O","lab","treated","temp","baked","dO.off","dC.off"
"1","FE 01",-9.37,"untreated",-0.69,"UU",FALSE,NA,FALSE,0,0
"2","FE 02",-15.29,"untreated",-7.27,"UU",FALSE,NA,FALSE,0,0
"3","FE 03",-8.26,"untreated",-3.43,"UU",FALSE,NA,FALSE,0,0
"4","FE 04",-10.62,"untreated",-1.15,"UU",FALSE,NA,FALSE,0,0
"5","FE 05",-15.75,"untreated",-5.38,"UU",FALSE,NA,FALSE,0,0
"6","FE 06",-13.68,"untreated",-3.79,"UU",FALSE,NA,FALSE,0,0
"7","FE 07",-10.72,"untreated",0.9,"UU",FALSE,NA,FALSE,0,0
"8","FE 08",-9.52,"untreated",0.08,"UU",FALSE,NA,FALSE,0,0
"9","TIE",-15.05,"untreated",-8.05,"UU",FALSE,NA,FALSE,0,0
"10","BOO-11",-14.46,"untreated",-7.05,"UU",FALSE,NA,FALSE,0,0
"11","FE 01",-9.4,"untreated_baked_30",-1.59,"UU",FALSE,"30",TRUE,-0.9,-0.0300000000000011
"12","FE 02",-15.52,"untreated_baked_30",-7.84,"UU",FALSE,"30",TRUE,-0.57,-0.23
"13","FE 03",-8.39,"untreated_baked_30",-4.08,"UU",FALSE,"30",TRUE,-0.65,-0.130000000000001
"14","FE 04",-10.71,"untreated_baked_30",-1.8,"UU",FALSE,"30",TRUE,-0.65,-0.0900000000000016
"15","FE 05",-15.79,"untreated_baked_30",-6.11,"UU",FALSE,"30",TRUE,-0.73,-0.0399999999999991
"16","FE 06",-13.73,"untreated_baked_30",-4.44,"UU",FALSE,"30",TRUE,-0.65,-0.0500000000000007
"17","FE 07",-10.78,"untreated_baked_30",0.04,"UU",FALSE,"30",TRUE,-0.86,-0.0599999999999987
"18","FE 08",-9.49,"untreated_baked_30",-0.79,"UU",FALSE,"30",TRUE,-0.87,0.0299999999999994
"19","TIE",-15.14,"untreated_baked_30",-8.55,"UU",FALSE,"30",TRUE,-0.5,-0.0899999999999999
"20","BOO-11",-14.42,"untreated_baked_30",-8.3,"UU",FALSE,"30",TRUE,-1.25,0.0400000000000009
"21","FE 01",-9.64,"treated",-0.16,"UU",TRUE,NA,FALSE,0.53,-0.270000000000001
"22","FE 02",-15.99,"treated",-6.7,"UU",TRUE,NA,FALSE,0.569999999999999,-0.700000000000001
