"","sample","d13Ccompare","d18Ocompare","lab","treatment","d13C","d18O"
"1","FE 01",-9.4,-1.59,"UU","Treated, Unbaked, 50 Rxn Temp",-9.64,-0.16
"2","FE 01",-9.4,-1.59,"UU","Treated, Baked, 30 Rxn Temp",-9.73,-0.99
"3","FE 01",-9.4,-1.59,"UU","Untreated, Unbaked, 30 Rxn Temp",-9.33,-1.03
"4","FE 01",-9.4,-1.59,"UU","Untreated, Unbaked, 50 Rxn Temp",-9.37,-0.69
"5","FE 02",-15.52,-7.84,"UU","Treated, Unbaked, 50 Rxn Temp",-15.99,-6.7
"6","FE 02",-15.52,-7.84,"UU","Treated, Baked, 30 Rxn Temp",-16.03,-7.42
"7","FE 02",-15.52,-7.84,"UU","Untreated, Unbaked, 30 Rxn Temp",-15.51,-7.55
"8","FE 02",-15.52,-7.84,"UU","Untreated, Unbaked, 50 Rxn Temp",-15.29,-7.27
"9","FE 03",-8.39,-4.08,"UU","Treated, Unbaked, 50 Rxn Temp",-8.79,-2.58
"10","FE 03",-8.39,-4.08,"UU","Treated, Baked, 30 Rxn Temp",-8.89,-3.19
"11","FE 03",-8.39,-4.08,"UU","Untreated, Unbaked, 30 Rxn Temp",-8.29,-3.9
"12","FE 03",-8.39,-4.08,"UU","Untreated, Unbaked, 50 Rxn Temp",-8.26,-3.43
"13","FE 04",-10.71,-1.8,"UU","Treated, Unbaked, 50 Rxn Temp",-10.89,-0.54
"14","FE 04",-10.71,-1.8,"UU","Treated, Baked, 30 Rxn Temp",-10.99,-1.04
"15","FE 04",-10.71,-1.8,"UU","Untreated, Unbaked, 30 Rxn Temp",-10.59,-1.6
"16","FE 04",-10.71,-1.8,"UU","Untreated, Unbaked, 50 Rxn Temp",-10.62,-1.15
"17","FE 05",-15.79,-6.11,"UU","Treated, Unbaked, 50 Rxn Temp",-16.14,-5.04
"18","FE 05",-15.79,-6.11,"UU","Treated, Baked, 30 Rxn Temp",-16.23,-5.32
"19","FE 05",-15.79,-6.11,"UU","Untreated, Unbaked, 30 Rxn Temp",-15.97,-5.67
"20","FE 05",-15.79,-6.11,"UU","Untreated, Unbaked, 50 Rxn Temp",-15.75,-5.38
"21","FE 06",-13.73,-4.44,"UU","Treated, Unbaked, 50 Rxn Temp",-14.33,-3.49
"22","FE 06",-13.73,-4.44,"UU","Treated, Baked, 30 Rxn Temp",-14.38,-3.83
"23","FE 06",-13.73,-4.44,"UU","Untreated, Unbaked, 30 Rxn Temp",-13.74,-4.23
"24","FE 06",-13.73,-4.44,"UU","Untreated, Unbaked, 50 Rxn Temp",-13.68,-3.79
"25","FE 07",-10.78,0.04,"UU","Treated, Unbaked, 50 Rxn Temp",-10.98,1.46
"26","FE 07",-10.78,0.04,"UU","Treated, Baked, 30 Rxn Temp",-11.09,0.83
"27","FE 07",-10.78,0.04,"UU","Untreated, Unbaked, 30 Rxn Temp",-10.56,0.54
"28","FE 07",-10.78,0.04,"UU","Untreated, Unbaked, 50 Rxn Temp",-10.72,0.9
"29","FE 08",-9.49,-0.79,"UU","Treated, Unbaked, 50 Rxn Temp",-9.76,-0.31
"30","FE 08",-9.49,-0.79,"UU","Treated, Baked, 30 Rxn Temp",-9.91,-0.4
"31","FE 08",-9.49,-0.79,"UU","Untreated, Unbaked, 30 Rxn Temp",-9.44,-0.82
"32","FE 08",-9.49,-0.79,"UU","Untreated, Unbaked, 50 Rxn Temp",-9.52,0.08
"33","TIE",-15.14,-8.55,"UU","Treated, Unbaked, 50 Rxn Temp",-15.2,-7.76
"34","TIE",-15.14,-8.55,"UU","Treated, Baked, 30 Rxn Temp",-15.31,-8.27
