"","sample","d13Ctreated","d18Otreated","lab","d13C","d18O","treatment"
"1","FE 01",-9.64,-0.16,"UU",-9.37,-0.69,"Untreated"
"2","FE 02",-15.99,-6.7,"UU",-15.29,-7.27,"Untreated"
"3","FE 03",-8.79,-2.58,"UU",-8.26,-3.43,"Untreated"
"4","FE 04",-10.89,-0.54,"UU",-10.62,-1.15,"Untreated"
"5","FE 05",-16.14,-5.04,"UU",-15.75,-5.38,"Untreated"
"6","FE 06",-14.33,-3.49,"UU",-13.68,-3.79,"Untreated"
"7","FE 07",-10.98,1.46,"UU",-10.72,0.9,"Untreated"
"8","FE 08",-9.76,-0.31,"UU",-9.52,0.08,"Untreated"
"9","TIE",-15.2,-7.76,"UU",-15.05,-8.05,"Untreated"
"10","BOO-11",-15.16,-7.42,"UU",-14.46,-7.05,"Untreated"
"11","FE 01",-9.12,0.54,"DPAA",-9.48,-0.88,"Untreated"
"12","FE 02",-15.12,-5.77,"DPAA",-15.1,-7.06,"Untreated"
"13","FE 03",-8.31,-1.06,"DPAA",-8.28,-2.47,"Untreated"
"14","FE 04",-10.5,0.05,"DPAA",-10.78,-1.71,"Untreated"
"15","FE 05",-15.38,-4,"DPAA",-15.95,-5.57,"Untreated"
"16","FE 06",-13.55,-1.89,"DPAA",-13.54,-3.75,"Untreated"
"17","FE 07",-10.53,1.6,"DPAA",-10.96,0.71,"Untreated"
"18","FE 08",-9.35,1.34,"DPAA",-9.53,0.42,"Untreated"
"19","TIE",-14.81,-6.15,"DPAA",-15.04,-6.86,"Untreated"
"20","BOO-11",-14.16,-5.89,"DPAA",-14.31,-6.28,"Untreated"
