"","sample","treatment","d13C","d18O","rxn_time","lab","treated","temp","baked"
"1","FE 01","untreated_unbaked_50",-9.37,-0.69,"8","UU",FALSE,"50",FALSE
"2","FE 02","untreated_unbaked_50",-15.29,-7.27,"8","UU",FALSE,"50",FALSE
"3","FE 03","untreated_unbaked_50",-8.26,-3.43,"8","UU",FALSE,"50",FALSE
"4","FE 04","untreated_unbaked_50",-10.62,-1.15,"8","UU",FALSE,"50",FALSE
"5","FE 05","untreated_unbaked_50",-15.75,-5.38,"8","UU",FALSE,"50",FALSE
"6","FE 06","untreated_unbaked_50",-13.68,-3.79,"8","UU",FALSE,"50",FALSE
"7","FE 07","untreated_unbaked_50",-10.72,0.9,"8","UU",FALSE,"50",FALSE
"8","FE 08","untreated_unbaked_50",-9.52,0.08,"8","UU",FALSE,"50",FALSE
"9","TIE","untreated_unbaked_50",-15.05,-8.05,"8","UU",FALSE,"50",FALSE
"10","BOO-11","untreated_unbaked_50",-14.46,-7.05,"8","UU",FALSE,"50",FALSE
"11","FE 01","untreated_baked_30",-9.4,-1.59,"8","UU",FALSE,"30",TRUE
"12","FE 02","untreated_baked_30",-15.52,-7.84,"8","UU",FALSE,"30",TRUE
"13","FE 03","untreated_baked_30",-8.39,-4.08,"8","UU",FALSE,"30",TRUE
"14","FE 04","untreated_baked_30",-10.71,-1.8,"8","UU",FALSE,"30",TRUE
"15","FE 05","untreated_baked_30",-15.79,-6.11,"8","UU",FALSE,"30",TRUE
"16","FE 06","untreated_baked_30",-13.73,-4.44,"8","UU",FALSE,"30",TRUE
"17","FE 07","untreated_baked_30",-10.78,0.04,"8","UU",FALSE,"30",TRUE
"18","FE 08","untreated_baked_30",-9.49,-0.79,"8","UU",FALSE,"30",TRUE
"19","TIE","untreated_baked_30",-15.14,-8.55,"8","UU",FALSE,"30",TRUE
"20","BOO-11","untreated_baked_30",-14.42,-8.3,"8","UU",FALSE,"30",TRUE
"21","FE 01","untreated_unbaked_30",-9.48,-0.88,"24","DPAA",FALSE,"30",FALSE
"22","FE 02","untreated_unbaked_30",-15.1,-7.06,"24","DPAA",FALSE,"30",FALSE
"23","FE 03","untreated_unbaked_30",-8.28,-2.47,"24","DPAA",FALSE,"30",FALSE
"24","FE 04","untreated_unbaked_30",-10.78,-1.71,"24","DPAA",FALSE,"30",FALSE
"25","FE 05","untreated_unbaked_30",-15.95,-5.57,"24","DPAA",FALSE,"30",FALSE
"26","FE 06","untreated_unbaked_30",-13.54,-3.75,"24","DPAA",FALSE,"30",FALSE
"27","FE 07","untreated_unbaked_30",-10.96,0.71,"24","DPAA",FALSE,"30",FALSE
"28","FE 08","untreated_unbaked_30",-9.53,0.42,"24","DPAA",FALSE,"30",FALSE
"29","TIE","untreated_unbaked_30",-15.04,-6.86,"24","DPAA",FALSE,"30",FALSE
"30","BOO-11","untreated_unbaked_30",-14.31,-6.28,"24","DPAA",FALSE,"30",FALSE
"31","FE 01","untreated_baked_30",-9.31,-1.37,"24","DPAA",FALSE,"30",TRUE
"32","FE 02","untreated_baked_30",-15.15,-7.23,"24","DPAA",FALSE,"30",TRUE
"33","FE 03","untreated_baked_30",-8.31,-3.16,"24","DPAA",FALSE,"30",TRUE
"34","FE 04","untreated_baked_30",-10.62,-1.82,"24","DPAA",FALSE,"30",TRUE
"35","FE 05","untreated_baked_30",-15.8,-6.28,"24","DPAA",FALSE,"30",TRUE
"36","FE 06","untreated_baked_30",-13.54,-3.77,"24","DPAA",FALSE,"30",TRUE
"37","FE 07","untreated_baked_30",-10.76,-0.15,"24","DPAA",FALSE,"30",TRUE
"38","FE 08","untreated_baked_30",-9.38,-0.35,"24","DPAA",FALSE,"30",TRUE
"39","TIE","untreated_baked_30",-14.89,-8.14,"24","DPAA",FALSE,"30",TRUE
"40","BOO-11","untreated_baked_30",-14.32,-6.92,"24","DPAA",FALSE,"30",TRUE
"41","FE 01","untreated_unbaked_50",-9.59,0.02,"24","DPAA",FALSE,"50",FALSE
"42","FE 02","untreated_unbaked_50",-15.36,-5.62,"24","DPAA",FALSE,"50",FALSE
"43","FE 03","untreated_unbaked_50",-8.49,-1.86,"24","DPAA",FALSE,"50",FALSE
"44","FE 04","untreated_unbaked_50",-11.39,-1.12,"24","DPAA",FALSE,"50",FALSE
"45","FE 05","untreated_unbaked_50",-16.63,-5.73,"24","DPAA",FALSE,"50",FALSE
"46","FE 06","untreated_unbaked_50",-13.73,-2.85,"24","DPAA",FALSE,"50",FALSE
"47","FE 07","untreated_unbaked_50",-11.27,0.59,"24","DPAA",FALSE,"50",FALSE
"48","FE 08","untreated_unbaked_50",-9.6,1.23,"24","DPAA",FALSE,"50",FALSE
"49","TIE","untreated_unbaked_50",-15.04,-6.91,"24","DPAA",FALSE,"50",FALSE
"50","BOO-11","untreated_unbaked_50",-14.68,-4.63,"24","DPAA",FALSE,"50",FALSE
"51","FE 01","treated_unbaked_50",-9.64,-0.16,"8","UU",TRUE,"50",FALSE
"52","FE 02","treated_unbaked_50",-15.99,-6.7,"8","UU",TRUE,"50",FALSE
"53","FE 03","treated_unbaked_50",-8.79,-2.58,"8","UU",TRUE,"50",FALSE
"54","FE 04","treated_unbaked_50",-10.89,-0.54,"8","UU",TRUE,"50",FALSE
"55","FE 05","treated_unbaked_50",-16.14,-5.04,"8","UU",TRUE,"50",FALSE
"56","FE 06","treated_unbaked_50",-14.33,-3.49,"8","UU",TRUE,"50",FALSE
"57","FE 07","treated_unbaked_50",-10.98,1.46,"8","UU",TRUE,"50",FALSE
"58","FE 08","treated_unbaked_50",-9.76,-0.31,"8","UU",TRUE,"50",FALSE
"59","TIE","treated_unbaked_50",-15.2,-7.76,"8","UU",TRUE,"50",FALSE
"60","BOO-11","treated_unbaked_50",-15.16,-7.42,"8","UU",TRUE,"50",FALSE
"61","FE 01","treated_baked_30",-9.73,-0.99,"8","UU",TRUE,"30",TRUE
"62","FE 02","treated_baked_30",-16.03,-7.42,"8","UU",TRUE,"30",TRUE
"63","FE 03","treated_baked_30",-8.89,-3.19,"8","UU",TRUE,"30",TRUE
"64","FE 04","treated_baked_30",-10.99,-1.04,"8","UU",TRUE,"30",TRUE
"65","FE 05","treated_baked_30",-16.23,-5.32,"8","UU",TRUE,"30",TRUE
"66","FE 06","treated_baked_30",-14.38,-3.83,"8","UU",TRUE,"30",TRUE
"67","FE 07","treated_baked_30",-11.09,0.83,"8","UU",TRUE,"30",TRUE
"68","FE 08","treated_baked_30",-9.91,-0.4,"8","UU",TRUE,"30",TRUE
"69","TIE","treated_baked_30",-15.31,-8.27,"8","UU",TRUE,"30",TRUE
"70","BOO-11","treated_baked_30",-15.05,-8.06,"8","UU",TRUE,"30",TRUE
"71","FE 01","treated_unbaked_30",-9.12,0.54,"24","DPAA",TRUE,"30",FALSE
"72","FE 02","treated_unbaked_30",-15.12,-5.77,"24","DPAA",TRUE,"30",FALSE
"73","FE 03","treated_unbaked_30",-8.31,-1.06,"24","DPAA",TRUE,"30",FALSE
"74","FE 04","treated_unbaked_30",-10.5,0.05,"24","DPAA",TRUE,"30",FALSE
"75","FE 05","treated_unbaked_30",-15.38,-4,"24","DPAA",TRUE,"30",FALSE
"76","FE 06","treated_unbaked_30",-13.55,-1.89,"24","DPAA",TRUE,"30",FALSE
"77","FE 07","treated_unbaked_30",-10.53,1.6,"24","DPAA",TRUE,"30",FALSE
"78","FE 08","treated_unbaked_30",-9.35,1.34,"24","DPAA",TRUE,"30",FALSE
"79","TIE","treated_unbaked_30",-14.81,-6.15,"24","DPAA",TRUE,"30",FALSE
"80","BOO-11","treated_unbaked_30",-14.16,-5.89,"24","DPAA",TRUE,"30",FALSE
"81","FE 01","treated_baked_30",-9.26,-0.48,"24","DPAA",TRUE,"30",TRUE
"82","FE 02","treated_baked_30",-15.03,-5.27,"24","DPAA",TRUE,"30",TRUE
"83","FE 03","treated_baked_30",-8.18,-2.36,"24","DPAA",TRUE,"30",TRUE
"84","FE 04","treated_baked_30",-10.47,-1.22,"24","DPAA",TRUE,"30",TRUE
"85","FE 05","treated_baked_30",-15.62,-4.73,"24","DPAA",TRUE,"30",TRUE
"86","FE 06","treated_baked_30",-13.63,-2.68,"24","DPAA",TRUE,"30",TRUE
"87","FE 07","treated_baked_30",-10.65,0.97,"24","DPAA",TRUE,"30",TRUE
"88","FE 08","treated_baked_30",-9.39,-0.22,"24","DPAA",TRUE,"30",TRUE
"89","TIE","treated_baked_30",-14.65,-6.22,"24","DPAA",TRUE,"30",TRUE
"90","BOO-11","treated_baked_30",-14.19,-6.67,"24","DPAA",TRUE,"30",TRUE
"91","FE 01","treated_unbaked_50",-9.52,1.25,"24","DPAA",TRUE,"50",FALSE
