"","sample","type","value","iso"
"1","FE 01","Untreated",-0.109028620902237,"C"
"2","FE 01","Untreated, 50 Rxn Temp",-0.219028620902236,"C"
"3","FE 01","Untreated, Baked, 30 Rxn Temp",0.0913621791867794,"C"
"4","FE 01","Untreated",-0.190445183162359,"O"
"5","FE 01","Untreated, 50 Rxn Temp",0.709554816837641,"O"
"6","FE 01","Untreated, Baked, 30 Rxn Temp",0.22192392503596,"O"
"7","FE 01","Treated",0.700226774327931,"O"
"8","FE 01","Treated",0.517036006536703,"C"
"9","FE 02","Untreated",0.186785168477099,"C"
"10","FE 02","Untreated, 50 Rxn Temp",-0.0732148315229004,"C"
"11","FE 02","Untreated, Baked, 30 Rxn Temp",0.3675329916151,"C"
"12","FE 02","Untreated",0.214008042135233,"O"
"13","FE 02","Untreated, 50 Rxn Temp",1.65400804213523,"O"
"14","FE 02","Untreated, Baked, 30 Rxn Temp",0.6078249208068,"O"
"15","FE 02","Treated",0.925164922394497,"O"
"16","FE 02","Treated",0.87352784766955,"C"
"17","FE 03","Untreated",-0.0221141283971349,"C"
"18","FE 03","Untreated, 50 Rxn Temp",-0.232114128397136,"C"
"19","FE 03","Untreated, Baked, 30 Rxn Temp",0.0838235781504402,"C"
"20","FE 03","Untreated",0.956145088288705,"O"
"21","FE 03","Untreated, 50 Rxn Temp",1.56614508828871,"O"
"22","FE 03","Untreated, Baked, 30 Rxn Temp",0.91975763719054,"O"
"23","FE 03","Treated",1.52003694492912,"O"
"24","FE 03","Treated",0.482755144556139,"C"
"25","FE 04","Untreated",-0.160366459015727,"C"
"26","FE 04","Untreated, 50 Rxn Temp",-0.765366459015725,"C"
"27","FE 04","Untreated, Baked, 30 Rxn Temp",0.0905634455343982,"C"
"28","FE 04","Untreated",-0.558292653892288,"O"
"29","FE 04","Untreated, 50 Rxn Temp",0.0367073461077123,"O"
"30","FE 04","Untreated, Baked, 30 Rxn Temp",-0.0215015649716199,"O"
"31","FE 04","Treated",0.591986208931054,"O"
"32","FE 04","Treated",0.39452271962735,"C"
"33","FE 05","Untreated",-0.198447501737476,"C"
"34","FE 05","Untreated, 50 Rxn Temp",-0.878447501737476,"C"
"35","FE 05","Untreated, Baked, 30 Rxn Temp",-0.00753036327180112,"C"
"36","FE 05","Untreated",-0.185811323481955,"O"
"37","FE 05","Untreated, 50 Rxn Temp",-0.345811323481955,"O"
"38","FE 05","Untreated, Baked, 30 Rxn Temp",-0.16640789353002,"O"
"39","FE 05","Treated",1.03878039659706,"O"
"40","FE 05","Treated",0.758886436327172,"C"
"41","FE 06","Untreated",0.144852468572477,"C"
"42","FE 06","Untreated, 50 Rxn Temp",-0.0451475314275243,"C"
"43","FE 06","Untreated, Baked, 30 Rxn Temp",0.1862984318323,"C"
"44","FE 06","Untreated",0.043152363919515,"O"
"45","FE 06","Untreated, 50 Rxn Temp",0.943152363919515,"O"
"46","FE 06","Untreated, Baked, 30 Rxn Temp",0.66947800968781,"O"
"47","FE 06","Treated",1.60330670392682,"O"
"48","FE 06","Treated",0.780818884301976,"C"
"49","FE 07","Untreated",-0.235672997022725,"C"
"50","FE 07","Untreated, 50 Rxn Temp",-0.540672997022725,"C"
"51","FE 07","Untreated, Baked, 30 Rxn Temp",0.0241391648954998,"C"
"52","FE 07","Untreated",-0.1853270711437,"O"
"53","FE 07","Untreated, 50 Rxn Temp",-0.3103270711437,"O"
"54","FE 07","Untreated, Baked, 30 Rxn Temp",-0.182041727737871,"O"
"55","FE 07","Treated",0.13796694491359,"O"
"56","FE 07","Treated",0.453341344016851,"C"
"57","FE 08","Untreated",-0.0106735671869576,"C"
"58","FE 08","Untreated, 50 Rxn Temp",-0.0806735671869578,"C"
"59","FE 08","Untreated, Baked, 30 Rxn Temp",0.107754578598549,"C"
"60","FE 08","Untreated",0.34213414424887,"O"
"61","FE 08","Untreated, 50 Rxn Temp",1.15213414424887,"O"
"62","FE 08","Untreated, Baked, 30 Rxn Temp",0.442802919520531,"O"
"63","FE 08","Treated",1.65234094592679,"O"
"64","FE 08","Treated",0.4145568128717,"C"
"65","TIE","Untreated",0.012101658165351,"C"
"66","TIE","Untreated, 50 Rxn Temp",0.012101658165351,"C"
"67","TIE","Untreated, Baked, 30 Rxn Temp",0.249960713449399,"C"
"68","TIE","Untreated",1.1889212782712,"O"
"69","TIE","Untreated, 50 Rxn Temp",1.1389212782712,"O"
"70","TIE","Untreated, Baked, 30 Rxn Temp",0.413411995455409,"O"
"71","TIE","Treated",1.61492221154446,"O"
"72","TIE","Treated",0.388205243378474,"C"
"73","BOO-11","Untreated",0.1458240136909,"C"
"74","BOO-11","Untreated, 50 Rxn Temp",-0.224175986309099,"C"
"75","BOO-11","Untreated, Baked, 30 Rxn Temp",0.0985066927408997,"C"
"76","BOO-11","Untreated",0.76796836390772,"O"
"77","BOO-11","Untreated, 50 Rxn Temp",2.41796836390772,"O"
"78","BOO-11","Untreated, Baked, 30 Rxn Temp",1.38105143212602,"O"
"79","BOO-11","Treated",1.52747379329276,"O"
"80","BOO-11","Treated",1.0023519160941,"C"
